"Time","Event",""
"04:10.537","Lemme At'em Riot Blade Erichthonios 6919 (+43%)",""
"04:10.627","Lemme At'em prepares  attack  on Erichthonios *2536*+38% damage",""
"04:10.985","Lemme At'em prepares  Intervene  on Erichthonios 3630+46% damage",""
"04:11.162","Lemme At'em attack Erichthonios *2536*",""
"04:11.384","Lemme At'em Circle of Scorn Erichthonios 2326",""
"04:11.561","Lemme At'em Intervene Erichthonios 3630",""
"04:12.230","Lemme At'em prepares  Goring Blade  on Erichthonios 6217 (+60%)+46% damage",""
"04:12.763","Lemme At'em Goring Blade Erichthonios 6217 (+60%)",""
"04:12.898","Lemme At'em prepares  attack  on Erichthonios 2093 (Direct Hit)+46% damage",""
"04:13.208","Lemme At'em Circle of Scorn Erichthonios Tick  873 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage",""
"04:13.208","Lemme At'em Goring Blade Erichthonios Tick  2013 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage",""
"04:13.342","Lemme At'em prepares  Expiacion  on Erichthonios *13686*+46% damage",""
"04:13.432","Lemme At'em attack Erichthonios 2093 (Direct Hit)",""
"04:13.699","Lemme At'em Expiacion Erichthonios *13686*",""
"04:14.679","Lemme At'em prepares  Fast Blade  on Erichthonios 6408 (Direct Hit)+46% damage",""
"04:15.170","Lemme At'em prepares  attack  on Erichthonios 1810+46% damage",""
"04:15.214","Lemme At'em prepares  Intervene  on Erichthonios 3933+46% damage",""
"04:15.302","Lemme At'em Fast Blade Erichthonios 6408 (Direct Hit)",""
"04:15.703","Lemme At'em attack Erichthonios 1810",""
"04:15.792","Lemme At'em Intervene Erichthonios 3933",""
"04:16.193","Lemme At'em Circle of Scorn Erichthonios Tick  1028 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage",""
"04:16.193","Lemme At'em Goring Blade Erichthonios Tick  2370 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage",""
"04:17.086","Lemme At'em prepares  Riot Blade  on Erichthonios 7815 (+43%)+46% damage",""
"04:17.441","Lemme At'em prepares  attack  on Erichthonios *2634*+46% damage",""
"04:17.841","Lemme At'em Riot Blade Erichthonios 7815 (+43%)",""
"04:17.975","Lemme At'em attack Erichthonios *2634*",""
"04:18.376","Lemme At'em prepares  Requiescat  on Erichthonios *12811*+17% damage",""
"04:19.002","Lemme At'em Requiescat Erichthonios *12811*",""
"04:19.180","Lemme At'em Circle of Scorn Erichthonios Tick  961 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage",""
"04:19.180","Lemme At'em Goring Blade Erichthonios Tick  2216 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage",""
"04:19.492","Lemme At'em prepares  Royal Authority  on Erichthonios *16811* (+69%)+46% damage",""
"04:19.715","Lemme At'em prepares  attack  on Erichthonios *2640*+46% damage",""
"04:20.072","Lemme At'em Royal Authority Erichthonios *16811* (+69%)",""
"04:20.251","Lemme At'em attack Erichthonios *2640*",""
"04:21.896","Lemme At'em prepares  Atonement  on Erichthonios *16934*+46% damage",""
"04:21.985","Lemme At'em prepares  attack  on Erichthonios *2650*+46% damage",""
"04:22.209","Lemme At'em Circle of Scorn Erichthonios Tick  857 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage",""
"04:22.209","Lemme At'em Goring Blade Erichthonios Tick  1977 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage",""
"04:22.521","Lemme At'em attack Erichthonios *2650*",""
"04:23.188","Lemme At'em Atonement Erichthonios *16934*",""
"04:24.258","Lemme At'em prepares  attack  on Erichthonios 1715+46% damage",""
"04:24.304","Lemme At'em prepares  Atonement  on Erichthonios 10501+46% damage",""
"04:24.794","Lemme At'em attack Erichthonios 1715",""
"04:25.195","Lemme At'em Circle of Scorn Erichthonios Tick  950 (T: 728, C: 34.2%, D: 19.2%, P/R: 18.36, G: 759.93, M: 1.38, S: 917)+38% damage",""
"04:25.195","Lemme At'em Goring Blade Erichthonios Tick  2190 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage",""
"04:25.596","Lemme At'em Atonement Erichthonios 10501",""
"04:26.530","Lemme At'em prepares  attack  on Erichthonios 2027 (Direct Hit)+31% damage",""
"04:26.752","Lemme At'em prepares  Atonement  on Erichthonios *14566*+31% damage",""
"04:27.063","Lemme At'em attack Erichthonios 2027 (Direct Hit)",""
"04:28.043","Lemme At'em Atonement Erichthonios *14566*",""
"04:28.177","Lemme At'em Goring Blade Erichthonios Tick  2446 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage",""
"04:28.801","Lemme At'em prepares  attack  on Erichthonios *2525*+31% damage",""
"04:29.158","Lemme At'em prepares  Fast Blade  on Erichthonios 4479+31% damage",""
"04:29.335","Lemme At'em attack Erichthonios *2525*",""
"04:29.778","Lemme At'em Fast Blade Erichthonios 4479",""
"04:31.073","Lemme At'em prepares  attack  on Erichthonios 1990 (Direct Hit)+31% damage",""
"04:31.207","Lemme At'em Goring Blade Erichthonios Tick  2108 (T: 1679, C: 34.2%, D: 19.2%, P/R: 18.36, G: 1741.96, M: 1.46, S: 2115)+46% damage",""
"04:31.563","Lemme At'em prepares  Riot Blade  on Erichthonios 6401 (+43%)+25% damage",""
"04:31.608","Lemme At'em attack Erichthonios 1990 (Direct Hit)",""
"04:32.321","Lemme At'em Riot Blade Erichthonios 6401 (+43%)",""
"04:33.345","Lemme At'em prepares  attack  on Erichthonios 1823 (Direct Hit)+25% damage",""
"04:33.881","Lemme At'em attack Erichthonios 1823 (Direct Hit)",""
"04:34.057","Lemme At'em prepares  Goring Blade  on Erichthonios 5326 (+60%)+25% damage",""
"04:34.591","Lemme At'em Goring Blade Erichthonios 5326 (+60%)",""
"04:35.616","Lemme At'em prepares  attack  on Erichthonios *2465* (Direct Hit)",""
"04:36.151","Lemme At'em attack Erichthonios *2465* (Direct Hit)",""
"04:36.462","Lemme At'em prepares  Holy Spirit  on Erichthonios 11756 (Direct Hit)",""
"04:37.219","Lemme At'em Holy Spirit Erichthonios 11756 (Direct Hit)",""
"04:37.219","Lemme At'em Goring Blade Erichthonios Tick  1838 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage",""
"04:37.887","Lemme At'em prepares  attack  on Erichthonios 1147",""
"04:38.421","Lemme At'em attack Erichthonios 1147",""
"04:38.954","Lemme At'em prepares  Holy Spirit  on Erichthonios *14094*",""
"04:39.712","Lemme At'em Holy Spirit Erichthonios *14094*",""
"04:40.159","Lemme At'em prepares  attack  on Erichthonios 1189",""
"04:40.203","Lemme At'em Goring Blade Erichthonios Tick  1682 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage",""
"04:40.381","Lemme At'em prepares  Circle of Scorn  on Erichthonios 1775",""
"04:40.693","Lemme At'em attack Erichthonios 1189",""
"04:41.407","Lemme At'em Circle of Scorn Erichthonios 1775",""
"04:41.452","Lemme At'em prepares  Holy Spirit  on Erichthonios 11029 (Direct Hit)",""
"04:42.210","Lemme At'em Holy Spirit Erichthonios 11029 (Direct Hit)",""
"04:42.431","Lemme At'em prepares  attack  on Erichthonios 1433 (Direct Hit)",""
"04:42.965","Lemme At'em attack Erichthonios 1433 (Direct Hit)",""
"04:43.187","Lemme At'em Goring Blade Erichthonios Tick  1661 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage",""
"04:43.187","Lemme At'em Circle of Scorn Erichthonios Tick  611 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)",""
"04:43.364","Lemme At'em prepares  Expiacion  on Erichthonios 7594 (Direct Hit)",""
"04:43.721","Lemme At'em Expiacion Erichthonios 7594 (Direct Hit)",""
"04:44.034","Lemme At'em prepares  Holy Spirit  on Erichthonios *15102*",""
"04:44.701","Lemme At'em prepares  attack  on Erichthonios *2373* (Direct Hit)",""
"04:44.789","Lemme At'em Holy Spirit Erichthonios *15102*",""
"04:45.235","Lemme At'em attack Erichthonios *2373* (Direct Hit)",""
"04:46.212","Lemme At'em Goring Blade Erichthonios Tick  1663 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage",""
"04:46.212","Lemme At'em Circle of Scorn Erichthonios Tick  612 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)",""
"04:46.569","Lemme At'em prepares  Confiteor  on Erichthonios *24623*",""
"04:46.970","Lemme At'em prepares  attack  on Erichthonios 1219",""
"04:47.193","Lemme At'em Confiteor Erichthonios *24623*",""
"04:47.505","Lemme At'em attack Erichthonios 1219",""
"04:49.064","Lemme At'em prepares  Blade of Faith  on Erichthonios *11092*",""
"04:49.199","Lemme At'em Goring Blade Erichthonios Tick  2028 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage",""
"04:49.199","Lemme At'em Circle of Scorn Erichthonios Tick  746 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)",""
"04:49.242","Lemme At'em prepares  attack  on Erichthonios 1499 (Direct Hit)",""
"04:49.731","Lemme At'em Blade of Faith Erichthonios *11092*",""
"04:49.776","Lemme At'em attack Erichthonios 1499 (Direct Hit)",""
"04:51.512","Lemme At'em prepares  attack  on Erichthonios *1968*",""
"04:51.557","Lemme At'em prepares  Blade of Truth  on Erichthonios 8239",""
"04:52.046","Lemme At'em attack Erichthonios *1968*",""
"04:52.179","Lemme At'em Goring Blade Erichthonios Tick  1589 (T: 1438, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1491.41, M: 1.25, S: 1722)+25% damage",""
"04:52.179","Lemme At'em Circle of Scorn Erichthonios Tick  584 (T: 529, C: 24.2%, D: 19.2%, P/R: 18.36, G: 550.67, M: 1, S: 633)",""
"04:52.446","Lemme At'em Blade of Truth Erichthonios 8239",""
"04:53.782","Lemme At'em prepares  attack  on Erichthonios 1175",""
"04:54.048","Lemme At'em prepares  Blade of Valor  on Erichthonios *16286*",""
"04:54.315","Lemme At'em attack Erichthonios 1175",""
"04:54.940","Lemme At'em Blade of Valor Erichthonios *16286*",""
